종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2245","-35","-1.54","2290","2360","2245","314815","726973260","103879546685","46271513"
"095570","AJ네트웍스","KOSPI",,"6730","-110","-1.61","6870","7190","6730","116494","810554380","315114045350","46822295"
"006840","AK홀딩스","KOSPI",,"14000","-350","-2.44","14450","14700","13100","37146","511272850","185465854000","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","9370","260","2.85","9440","9700","9200","30040","285562050","191093850770","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","16450","250","1.54","16500","16850","16200","56226","935783150","251379375450","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","8330","-70","-0.83","8430","8650","8330","74380","631185100","125635592320","15082304"
"027410","BGF","KOSPI",,"3290","-5","-0.15","3330","3385","3275","228184","758494990","314908242390","95716791"
"282330","BGF리테일","KOSPI",,"164000","3000","1.86","161500","164500","161000","24949","4069828000","2834560584000","17283906"
"032790","BNGT","KOSDAQ","관리종목(소속부없음)","4075","0","0.00","0","0","0","0","0","120352455875","29534345"
"138930","BNK금융지주","KOSPI",,"6110","10","0.16","6130","6200","6080","1133775","6947430210","1991464353060","325935246"
"001460","BYC","KOSPI",,"376000","0","0.00","376000","392500","371500","253","95523500","234855240000","624615"
"001465","BYC우","KOSPI",,"148000","500","0.34","147000","148000","142500","128","18652500","31876980000","215385"
"013720","CBI","KOSDAQ","벤처기업부","270","-1","-0.37","271","287","270","3512013","977318132","72991985220","270340686"
"001040","CJ","KOSPI",,"69400","-900","-1.28","70800","71200","69000","41945","2932492900","2024883661200","29176998"
"079160","CJ CGV","KOSPI",,"14900","-250","-1.65","15400","16000","14900","219745","3383220850","710847516300","47707887"
"035760","CJ ENM","KOSDAQ","우량기업부","76700","600","0.79","77200","78800","76500","74991","5814096300","1681966111800","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","25950","-100","-0.38","26050","26350","25950","1728","45056150","152551538400","5878672"
"00104K","CJ4우(전환)","KOSPI",,"64400","100","0.16","64700","64900","63500","4239","272057000","272187372800","4226512"
"000120","CJ대한통운","KOSPI",,"94500","-2700","-2.78","97400","98100","93700","99332","9444402300","2155766508000","22812344"
"011150","CJ씨푸드","KOSPI",,"2685","30","1.13","2695","2780","2685","117487","321769295","96474125505","35930773"
"011155","CJ씨푸드1우","KOSPI",,"23750","-250","-1.04","23100","23750","23100","566","13241550","4750000000","200000"
"001045","CJ우","KOSPI",,"46400","150","0.32","46300","46950","46250","355","16500450","104874347200","2260223"
"097950","CJ제일제당","KOSPI",,"407500","1000","0.25","406500","412000","395500","42639","17359382000","6134580795000","15054186"
"097955","CJ제일제당 우","KOSPI",,"168000","-5000","-2.89","175500","176500","168000","3240","553069500","223008744000","1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부","33800","-850","-2.45","34700","35350","33800","29321","1011474450","401259606800","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","2255","0","0.00","2270","2335","2255","637743","1467136735","313202010220","138892244"
"023460","CNH","KOSDAQ","중견기업부","2405","235","10.83","2175","2575","2075","2124377","5021765855","89466000000","37200000"
"056730","CNT85","KOSDAQ","관리종목(소속부없음)","3100","0","0.00","0","0","0","0","0","110449763600","35628956"
"065770","CS","KOSDAQ","벤처기업부","1425","5","0.35","1395","1465","1390","47898","68277270","27660860250","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","1025","10","0.99","1015","1060","1010","37817","38884010","40437472825","39451193"
"000590","CS홀딩스","KOSPI",,"53700","-400","-0.74","55300","55700","53500","7484","407079700","61995683400","1154482"
"012030","DB","KOSPI",,"698","0","0.00","701","726","698","392945","277733075","140419405234","201173933"
"404950","DB금융스팩10호","KOSDAQ","SPAC(소속부없음)","2110","-5","-0.24","2115","2115","2100","3732","7863620","12322400000","5840000"
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)","2160","0","0.00","2165","2165","2130","12","25875","13068000000","6050000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)","2125","-5","-0.23","2130","2130","2105","3812","8045995","10285000000","4840000"
"016610","DB금융투자","KOSPI",,"4390","40","0.92","4360","4495","4350","36484","160319215","186339647710","42446389"
"005830","DB손해보험","KOSPI",,"56600","1700","3.10","55400","57500","55000","126518","7159922900","4007280000000","70800000"
"000990","DB하이텍","KOSPI",,"36200","-1250","-3.34","38300","38950","36150","819832","30801862850","1607228885600","44398588"
"000995","DB하이텍1우","KOSPI",,"68500","-1500","-2.14","72000","72000","68500","913","63669500","7693646000","112316"
"139130","DGB금융지주","KOSPI",,"6970","-20","-0.29","7010","7070","6970","390075","2738888070","1178946456010","169145833"
"001530","DI동일","KOSPI",,"13950","-450","-3.13","14600","14950","13950","88906","1281925000","356677366500","25568270"
"000210","DL","KOSPI",,"58100","-1400","-2.35","59600","60100","57300","189741","11088785500","1217536860400","20955884"
"001880","DL건설","KOSPI",,"14950","-100","-0.66","15100","15300","14650","39941","599480750","329696595800","22053284"
"000215","DL우","KOSPI",,"34050","-150","-0.44","34700","34950","33850","1530","52373350","57412215750","1686115"
"375500","DL이앤씨","KOSPI",,"34800","-300","-0.85","35500","35900","34500","293838","10297171300","1346538080400","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"28600","0","0.00","28750","30350","28600","1294","37556750","60401798600","2111951"
"37550K","DL이앤씨우","KOSPI",,"25200","-1050","-4.00","26400","26700","23950","2987","77066800","53269902000","2113885"
"068790","DMS","KOSDAQ","우량기업부","4515","10","0.22","4520","4635","4485","88786","404055980","110947370415","24573061"
"007340","DN오토모티브","KOSPI",,"61700","700","1.15","61700","63500","61200","17877","1117205100","616630108500","9994005"
"004840","DRB동일","KOSPI",,"3985","130","3.37","3945","4630","3860","113071","467706830","79421050000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부","3735","65","1.77","3715","3865","3690","94429","356952670","103875590205","27811403"
"155660","DSR","KOSPI",,"4550","-45","-0.98","4620","4730","4550","49108","226393685","72800000000","16000000"
"069730","DSR제강","KOSPI",,"4140","110","2.73","4090","4235","4090","80468","335234010","59616000000","14400000"
"017940","E1","KOSPI",,"43200","-200","-0.46","43050","43600","42850","6388","276082700","296352000000","6860000"
"245620","EDGC","KOSDAQ","기술성장기업부","1800","65","3.75","1765","1845","1765","706273","1282258570","151336675800","84075931"
"037370","EG","KOSDAQ","중견기업부","7290","-20","-0.27","7460","7610","7280","56504","418751040","62876045880","8624972"
"278990","EMB","KONEX","일반기업부","4520","0","0.00","0","0","0","0","0","16399563440","3628222"
"365550","ESR켄달스퀘어리츠","KOSPI",,"5130","-40","-0.77","5220","5240","5090","55515","285847350","1093146570000","213089000"
"050120","ES큐브","KOSDAQ","중견기업부","4385","535","13.90","3800","4470","3790","744917","3170540675","59478517110","13564086"
"084180","EV수성","KOSDAQ","중견기업부","1440","15","1.05","1430","1450","1420","505587","725416865","90253130400","62675785"
"383220","F&F","KOSPI",,"143000","0","0.00","145000","147000","142000","102813","14854247000","5477911725000","38307075"
"007700","F&F홀딩스","KOSPI",,"14450","400","2.85","14150","14900","14150","41009","598942300","565202603150","39114367"
"214270","FSN","KOSDAQ","중견기업부","3245","60","1.88","3250","3365","3235","115500","380420390","90550271240","27904552"
"130500","GH신소재","KOSDAQ","중견기업부","3320","85","2.63","3250","3500","3250","108720","371041005","48289572640","14545052"
"114090","GKL","KOSPI",,"14750","-450","-2.96","15300","15300","14750","120327","1802034300","912371132500","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","2675","130","5.11","2500","2945","2490","1194680","3294545120","180228125000","67375000"
"078930","GS","KOSPI",,"41800","200","0.48","42200","42950","41300","223614","9449132800","3883862800400","92915378"
"083450","GST","KOSDAQ","우량기업부","18350","200","1.10","18600","19200","18300","72712","1360778900","170980620750","9317745"
"006360","GS건설","KOSPI",,"23200","-800","-3.33","24400","24550","23150","1225994","28956650600","1985490568000","85581490"
"001250","GS글로벌","KOSPI",,"2655","10","0.38","2670","2830","2655","2768961","7573371910","219127143420","82533764"
"007070","GS리테일","KOSPI",,"26350","200","0.76","26150","26550","26150","163440","4307190700","2759317244700","104717922"
"078935","GS우","KOSPI",,"34500","650","1.92","34150","34800","34100","1803","62123150","61576497000","1784826"
"297890","HB솔루션","KOSDAQ","벤처기업부","13700","-550","-3.86","14550","14900","13350","105469","1488589100","229065274100","16720093"
"078150","HB테크놀러지","KOSDAQ","우량기업부","1785","0","0.00","1805","1845","1780","340565","612347380","140997910410","78990426"
"012630","HDC","KOSPI",,"5960","-40","-0.67","6000","6030","5890","65996","393301520","356060657160","59741721"
"039570","HDC랩스","KOSPI",,"7970","80","1.01","7890","8070","7850","11626","92449230","206882079970","25957601"
"089470","HDC현대EP","KOSPI",,"3850","100","2.67","3780","3930","3780","41196","158689035","122815000000","31900000"
"294870","HDC현대산업개발","KOSPI",,"10450","0","0.00","10500","10700","10400","198041","2088065800","688731598500","65907330"
"267250","HD현대","KOSPI",,"55000","800","1.48","54700","55700","54200","149925","8223908800","4344619675000","78993085"
"097230","HJ중공업","KOSPI",,"4360","-35","-0.80","4370","4630","4360","71544","323346535","363075865160","83274281"
"195940","HK이노엔","KOSDAQ","벤처기업부","32700","150","0.46","33000","33750","32700","161371","5375193050","945177117300","28904499"
"028300","HLB","KOSDAQ","중견기업부","41800","950","2.33","41600","42900","41400","680029","28696217450","4468565505800","106903481"
"003580","HLB글로벌","KOSPI",,"7560","-70","-0.92","7630","7850","7560","302997","2338407190","320294837520","42367042"
"343090","HLB사이언스","KONEX","일반기업부","3365","210","6.66","3185","3450","3100","3931","12672245","38903313495","11561163"
"067630","HLB생명과학","KOSDAQ","중견기업부","12550","250","2.03","12550","12950","12450","568297","7220068100","1212331142050","96600091"
"047920","HLB제약","KOSDAQ","기술성장기업부","14900","50","0.34","15100","15550","14800","423406","6449959000","415280135000","27871150"
"115450","HLB테라퓨틱스","KOSDAQ","중견기업부","13800","-250","-1.78","14300","14450","13750","432878","6094354550","432425911800","31335211"
"011200","HMM","KOSPI",,"18600","-750","-3.88","19500","19650","18500","3123099","59410238900","9096134625600","489039496"
"403870","HPSP","KOSDAQ","중견기업부","55400","-3200","-5.46","59900","60600","54700","285968","16459696200","1105207563000","19949595"
"036640","HRS","KOSDAQ","우량기업부","5290","190","3.73","5190","5580","5090","327642","1760783910","86516892000","16354800"
"082740","HSD엔진","KOSPI",,"6950","310","4.67","6840","7220","6780","848473","5984672810","497230758300","71543994"
"335870","IBKS제12호스팩","KOSDAQ","SPAC(소속부없음)","14500","-6150","-29.78","18950","20800","14500","553071","9909677750","45240000000","3120000"
"351340","IBKS제13호스팩","KOSDAQ","SPAC(소속부없음)","1970","-30","-1.50","2010","2010","1970","77717","154216830","10184900000","5170000"
"388790","IBKS제16호스팩","KOSDAQ","SPAC(소속부없음)","2225","0","0.00","0","0","0","0","0","7587250000","3410000"
"405350","IBKS제17호스팩","KOSDAQ","SPAC(소속부없음)","2405","-555","-18.75","2835","2995","2405","1939385","5261693245","6541600000","2720000"
"424760","IBKS제18호스팩","KOSDAQ","SPAC(소속부없음)","2225","5","0.23","2260","2275","2180","208495","462656725","9411750000","4230000"
"426550","IBKS제19호스팩","KOSDAQ","SPAC(소속부없음)","2205","-15","-0.68","2240","2295","2200","43722","97168455","11201400000","5080000"
"003560","IHQ","KOSPI",,"452","6","1.35","449","529","448","3942117","1894059368","84006144504","185854302"
"095340","ISC","KOSDAQ","우량기업부","32400","-400","-1.22","33500","34000","32400","150000","4982860250","563742860400","17399471"
"099520","ITX-AI","KOSDAQ","관리종목(소속부없음)","1285","0","0.00","0","0","0","0","0","37652662655","29301683"
"175330","JB금융지주","KOSPI",,"7030","10","0.14","7050","7100","6970","190541","1341890550","1384789744820","196982894"
"950170","JTC","KOSDAQ","관리종목(소속부없음)","3440","-95","-2.69","3535","3570","3380","89278","310299080","120418978480","35005517"
"234080","JW생명과학","KOSPI",,"11400","200","1.79","11300","11600","11250","21073","240935850","180513915600","15834554"
"067290","JW신약","KOSDAQ","중견기업부","3340","270","8.79","3110","3680","3110","7782139","27122975375","154065639580","46127437"
"001060","JW중외제약","KOSPI",,"17750","550","3.20","17500","18250","17500","99893","1788471250","393660937750","22178081"
"001067","JW중외제약2우B","KOSPI",,"62000","-1000","-1.59","63000","63000","61200","230","14328500","6381474000","102927"
"001065","JW중외제약우","KOSPI",,"32400","0","0.00","32400","33100","32400","382","12422550","5920614000","182735"
"096760","JW홀딩스","KOSPI",,"2795","65","2.38","2790","2930","2700","121441","343749095","196892953270","70444706"
"035900","JYP Ent.","KOSDAQ","우량기업부","58100","3400","6.22","56000","59000","55800","527042","30490070800","2062404285200","35497492"
"318000","KBG","KOSDAQ","벤처기업부","4745","20","0.42","4755","4850","4720","11669","55664920","39050519625","8229825"
"024840","KBI메탈","KOSDAQ","중견기업부","1350","-5","-0.37","1355","1410","1345","317419","433791430","44483644800","32950848"
"105560","KB금융","KOSPI",,"44250","-100","-0.23","44500","45150","44250","1744001","77698228298","18093695259000","408897068"
"024120","KB오토시스","KOSDAQ","우량기업부","3650","-100","-2.67","3760","4005","3625","553653","1867292810","41975000000","11500000"
"002380","KCC","KOSPI",,"235000","1000","0.43","238500","242000","234500","31062","7376803000","2088320685000","8886471"
"021320","KCC건설","KOSDAQ","우량기업부","5500","-110","-1.96","5640","5690","5460","34759","193615700","117700000000","21400000"
"344820","KCC글라스","KOSPI",,"39500","-50","-0.13","40000","40750","39200","27642","1100636550","630835224000","15970512"
"036670","KCI","KOSDAQ","우량기업부","8390","20","0.24","8570","8570","8310","11795","99635570","94555300000","11270000"
"009070","KCTC","KOSPI",,"3985","15","0.38","4020","4110","3985","58407","235578110","119550000000","30000000"
"009440","KC그린홀딩스","KOSPI",,"3145","-110","-3.38","3395","3395","3070","60504","192423345","70558012100","22434980"
"112190","KC산업","KONEX","일반기업부","3420","140","4.27","3295","3435","3285","605","2014285","24368365260","7125253"
"119650","KC코트렐","KOSPI",,"2990","-110","-3.55","3155","3245","2935","72708","226828225","52624000000","17600000"
"044180","KD","KOSDAQ","중견기업부","739","19","2.64","742","747","721","112146","82291982","18363145699","24848641"
"092220","KEC","KOSPI",,"2355","-70","-2.89","2485","2510","2355","1642997","4009136510","340881872055","144748141"
"151860","KG ETS","KOSDAQ","우량기업부","9570","-30","-0.31","9740","10150","9570","588826","5819586060","344520000000","36000000"
"046440","KG모빌리언스","KOSDAQ","우량기업부","5480","20","0.37","5520","5700","5480","151845","848094130","212764112640","38825568"
"016380","KG스틸","KOSPI",,"8460","10","0.12","8520","8800","8450","702670","6059421120","846075268620","100008897"
"035600","KG이니시스","KOSDAQ","우량기업부","11900","-150","-1.24","12250","12450","11900","178984","2176029250","332062764600","27904434"
"001390","KG케미칼","KOSPI",,"21450","300","1.42","21750","22600","21450","148100","3271156500","297427759200","13866096"
"226360","KH 건설","KOSDAQ","벤처기업부","507","-17","-3.24","527","543","506","2511450","1323175472","62675609217","123620531"
"111870","KH 전자","KOSDAQ","중견기업부","316","3","0.96","315","322","310","1072332","340357578","50547303752","159959822"
"033180","KH 필룩스","KOSPI",,"999","-1","-0.10","1000","1035","950","643600","651086368","155109607128","155264872"
"060720","KH바텍","KOSDAQ","중견기업부","13000","-100","-0.76","13350","13550","13000","455735","6056549400","307806746000","23677442"
"001940","KISCO홀딩스","KOSPI",,"12350","-400","-3.14","12750","12950","12350","17125","215882250","199778293000","16176380"
"058400","KNN","KOSDAQ","우량기업부","869","4","0.46","880","908","869","1042837","920222412","115081426680","132429720"
"114450","KPX생명과학","KOSDAQ","중견기업부","4130","275","7.13","3935","4490","3920","1842678","7901559205","61950000000","15000000"
"025000","KPX케미칼","KOSPI",,"48200","700","1.47","47850","48600","47850","2415","116565150","233288000000","4840000"
"092230","KPX홀딩스","KOSPI",,"54900","1300","2.43","53900","55100","53600","2280","125157500","231933065400","4224646"
"000040","KR모터스","KOSPI",,"688","79","12.97","560","791","547","35732231","25958601494","66143263920","96138465"
"044450","KSS해운","KOSPI",,"8900","-170","-1.87","9090","9270","8860","40214","366501230","205464332000","23085880"
"030200","KT","KOSPI",,"35550","300","0.85","35550","35850","35200","804031","28542790150","9282524774400","261111808"
"033780","KT&G","KOSPI",,"87200","400","0.46","86700","87200","86000","586530","50967864715","11971905738400","137292497"
"058850","KTcs","KOSPI",,"2135","-25","-1.16","2160","2180","2135","30967","66666075","91132475000","42685000"
"058860","KTis","KOSPI",,"2600","-15","-0.57","2635","2660","2595","66014","173603475","90485200000","34802000"
"060370","KT서브마린","KOSDAQ","중견기업부","6330","80","1.28","6460","6500","6280","492195","3138875460","138627000000","21900000"
"122450","KX","KOSDAQ","중견기업부","6050","-140","-2.26","6230","6310","6050","45484","280036010","274282582200","45335964"
"052900","KX하이텍","KOSDAQ","벤처기업부","1185","15","1.28","1190","1245","1185","193637","235102425","61179234510","51628046"
"093050","LF","KOSPI",,"14900","150","1.02","14900","15250","14650","31203","467287200","435676000000","29240000"
"003550","LG","KOSPI",,"74500","700","0.95","74700","76200","74500","228994","17240651000","11718923978500","157300993"
"034220","LG디스플레이","KOSPI",,"11950","-100","-0.83","12250","12450","11950","1612035","19599320100","4275897615000","357815700"
"051900","LG생활건강","KOSPI",,"651000","-2000","-0.31","661000","682000","647000","66213","43660588000","10167446247000","15618197"
"051905","LG생활건강우","KOSPI",,"326500","-8000","-2.39","337500","342500","326000","2753","913050000","685551070500","2099697"
"373220","LG에너지솔루션","KOSPI",,"440000","6500","1.50","440500","448000","436500","313739","139155305500","102960000000000","234000000"
"003555","LG우","KOSPI",,"59000","-200","-0.34","59500","60200","59000","2056","122773300","178275580000","3021620"
"032640","LG유플러스","KOSPI",,"10750","50","0.47","10700","10900","10700","893867","9641124500","4693572130750","436611361"
"011070","LG이노텍","KOSPI",,"275000","-2000","-0.72","284500","288000","275000","557593","157045893500","6508454425000","23667107"
"066570","LG전자","KOSPI",,"78000","-1300","-1.64","80500","80700","77900","785644","62370494500","12764529492000","163647814"
"066575","LG전자우","KOSPI",,"36900","-100","-0.27","37500","37600","36900","16782","626819750","634163104800","17185992"
"037560","LG헬로비전","KOSPI",,"4210","-5","-0.12","4280","4405","4210","319126","1378576265","326051301650","77446865"
"051910","LG화학","KOSPI",,"547000","1000","0.18","550000","561000","542000","238128","131548725000","38614011621000","70592343"
"051915","LG화학우","KOSPI",,"256500","5000","1.99","255500","263500","255000","12621","3281004000","1972177200000","7688800"
"079550","LIG넥스원","KOSPI",,"91100","800","0.89","91700","93300","89400","204864","18816032200","2004200000000","22000000"
"006260","LS","KOSPI",,"56500","300","0.53","57400","58000","56200","99568","5676296800","1819300000000","32200000"
"010120","LS ELECTRIC","KOSPI",,"46750","1250","2.75","46400","47750","46400","95084","4484227250","1402500000000","30000000"
"000680","LS네트웍스","KOSPI",,"2640","-70","-2.58","2680","2750","2640","53496","143788065","208039962240","78803016"
"229640","LS전선아시아","KOSPI",,"7000","-10","-0.14","7170","7190","7000","85101","602517170","214374153000","30624879"
"108320","LX세미콘","KOSDAQ","우량기업부","75300","-2500","-3.21","79300","80500","75300","210195","16242476000","1224701790000","16264300"
"001120","LX인터내셔널","KOSPI",,"39000","1050","2.77","38750","40450","38600","426528","16896340250","1511640000000","38760000"
"108670","LX하우시스","KOSPI",,"33100","-150","-0.45","33400","34150","33050","24022","806110100","296829877000","8967670"
"108675","LX하우시스우","KOSPI",,"16400","500","3.14","16000","16450","16000","168","2723550","16930212000","1032330"
"383800","LX홀딩스","KOSPI",,"8250","-20","-0.24","8270","8330","8230","97984","810470850","629315692500","76280690"
"38380K","LX홀딩스1우","KOSPI",,"9990","-160","-1.58","10000","10500","9980","2016","20336250","14638197150","1465285"
"086960","MDS테크","KOSDAQ","중견기업부","13150","-500","-3.66","13750","14300","13050","120162","1657567750","116937795200","8892608"
"023150","MH에탄올","KOSPI",,"7500","40","0.54","7510","7800","7500","19939","151400820","55338945000","7378526"
"035420","NAVER","KOSPI",,"196500","-4000","-2.00","203000","205000","196000","610411","122574255500","32235645202500","164049085"
"160550","NEW","KOSDAQ","중견기업부","5640","40","0.71","5790","5930","5620","182440","1057575750","157390437840","27906106"
"053290","NE능률","KOSDAQ","중견기업부","3910","5","0.13","3925","4250","3865","204682","822717065","64617860370","16526307"
"181710","NHN","KOSPI",,"21750","-200","-0.91","22100","22600","21700","56188","1245068600","783374056500","36017198"
"104200","NHN벅스","KOSDAQ","중견기업부","6030","10","0.17","6200","6430","6020","156682","980470330","89410126500","14827550"
"060250","NHN한국사이버결제","KOSDAQ","우량기업부","11100","400","3.74","10900","11500","10900","350444","3954840600","445782782100","40160611"
"400760","NH올원리츠","KOSPI",,"4230","-35","-0.82","4315","4315","4230","21839","92929795","178506000000","42200000"
"005940","NH투자증권","KOSPI",,"9020","-40","-0.44","9070","9190","9020","470191","4270261120","2991626607420","331665921"
"005945","NH투자증권우","KOSPI",,"9210","90","0.99","9170","9300","9170","15170","140109860","173801615280","18870968"
"338100","NH프라임리츠","KOSPI",,"4380","0","0.00","4500","4500","4370","7936","34957935","81730800000","18660000"
