종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2215","-30","-1.34","2110","2280","2105","383077","843883985","102491401295","46271513"
"095570","AJ네트웍스","KOSPI",,"6800","70","1.04","6660","6890","6400","186398","1239943510","318391606000","46822295"
"006840","AK홀딩스","KOSPI",,"13250","-750","-5.36","13500","13700","13200","24325","326316450","175530183250","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","9200","-170","-1.81","9300","9300","8980","29664","270230820","187626833200","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","15900","-550","-3.34","16350","16600","15800","144418","2314310000","242974593900","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","8700","370","4.44","8080","9940","8080","1059212","9739295020","131216044800","15082304"
"027410","BGF","KOSPI",,"3285","-5","-0.15","3235","3315","3205","132881","431692555","314429658435","95716791"
"282330","BGF리테일","KOSPI",,"165500","1500","0.91","165000","169500","161000","72788","12031624000","2860486443000","17283906"
"032790","BNGT","KOSDAQ","관리종목(소속부없음)","4075","0","0.00","0","0","0","0","0","120352455875","29534345"
"138930","BNK금융지주","KOSPI",,"6020","-90","-1.47","6060","6080","5960","1578353","9515201760","1962130180920","325935246"
"001460","BYC","KOSPI",,"367000","-9000","-2.39","359000","373000","359000","230","83439500","229233705000","624615"
"001465","BYC우","KOSPI",,"147000","-1000","-0.68","146000","147000","143500","181","26227000","31661595000","215385"
"013720","CBI","KOSDAQ","벤처기업부","259","-11","-4.07","260","272","255","3003262","786145049","70018237674","270340686"
"001040","CJ","KOSPI",,"69500","100","0.14","69000","70300","68800","55818","3880438600","2027801361000","29176998"
"079160","CJ CGV","KOSPI",,"14900","0","0.00","14600","15150","14500","174181","2585924000","710873889300","47709657"
"035760","CJ ENM","KOSDAQ","우량기업부","76100","-600","-0.78","76000","77500","75600","76508","5840404100","1668808619400","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","25950","0","0.00","26000","26050","25250","2416","62586850","152551538400","5878672"
"00104K","CJ4우(전환)","KOSPI",,"64600","200","0.31","63300","64700","62900","9460","605290900","273032675200","4226512"
"000120","CJ대한통운","KOSPI",,"90400","-4100","-4.34","94200","94300","90000","115918","10593700900","2062235897600","22812344"
"011150","CJ씨푸드","KOSPI",,"2650","-35","-1.30","2635","2705","2605","120427","320257160","95216548450","35930773"
"011155","CJ씨푸드1우","KOSPI",,"23800","50","0.21","22850","23800","22850","138","3193050","4760000000","200000"
"001045","CJ우","KOSPI",,"47500","1100","2.37","46400","47500","45900","1450","68188200","107360592500","2260223"
